Appellation,Robert,J.Robinson,J.Suckling,Prix
Margaux,None,None,92.0,23.0
Haut-Médoc,None,15.5,90.0,19.75
Margaux,None,17.0,95.0,79.0
Haut-Médoc,None,16.0,90.0,14.0
Pessac-Léognan,None,None,91.0,21.0
Pomerol,None,16.5,91.0,51.0
Saint-Emilion,None,16.5,94.0,42.0
Castillon Côtes de Bordeaux,None,16.0,94.0,29.0
Pauillac,None,17.5,97.0,115.0
Saint-Julien,None,15.5,92.5,61.0
Pomerol,None,16.5,95.0,52.0
Saint-Estèphe,None,15.5,92.0,22.0
Pomerol,None,None,93.5,30.0
Pessac-Léognan,None,16.5,95.0,39.83
Margaux,None,None,92.0,24.0
Sauternes,None,17.5,97.0,445.0
Haut-Médoc,None,16.0,94.0,32.0
Sauternes,None,16.0,99.0,470.0
Pessac-Léognan,None,15.5,89.5,22.0
Médoc,None,16.0,93.0,29.0
Saint-Emilion,None,15.5,93.0,54.0
Médoc,None,16.0,91.0,31.0
Pessac-Léognan,None,None,95.0,27.5
Haut-Médoc,None,15.5,92.0,27.0
Castillon Côtes de Bordeaux,None,15.0,93.0,30.0
Pessac-Léognan,None,16.5,94.0,41.0
Saint-Julien,None,16.0,94.0,73.0
Pessac-Léognan,None,16.0,92.0,25.0
Moulis,None,16.0,92.0,28.5
Saint-Julien,None,17.5,96.0,139.0
Pauillac,None,17.0,96.0,310.0
Castillon Côtes de Bordeaux,None,16.0,94.0,30.0
Pauillac,None,17.5,94.0,58.0
Saint-Emilion,None,16.5,94.0,37.0
Moulis,None,16.5,94.0,38.83
Pomerol,None,17.0,94.0,122.0
Pauillac,None,16.0,95.0,50.0
Haut-Médoc,None,16.5,90.0,19.92
Saint-Emilion,None,16.5,94.0,76.0
Médoc,None,16.5,92.5,25.5
Margaux,None,17.0,94.0,62.42
Saint-Emilion,None,16.5,91.5,31.5
Haut-Médoc,None,16.0,95.0,35.0
Pomerol,None,None,90.0,33.0
Margaux,None,17.0,98.0,79.0
Pauillac,None,18.0,98.0,165.0
Pessac-Léognan,None,None,90.0,21.0
Saint-Julien,None,17.0,96.0,75.0
Saint-Estèphe,None,16.0,92.0,23.0
